date,start_location,end_location,kilometres,category,start_time,end_time,purpose
2025-12-20,"3420, 3420, Quadra Street, Saanich, British Columbia","1791, Barrie Road, Saanich, British Columbia",11.1,Business,16:17,16:33,Work
2025-12-19,"584, Burnside Road East, Victoria, British Columbia","3420, Quadra Street, Saanich, British Columbia",1.9,Business,22:33,22:43,Home
2025-12-19,"Bin 4 Burger Lounge, Bin 4 Burger Lounge, Maple Street, Saanich","584, Burnside Road East, Victoria, British Columbia",1.2,Business,22:27,22:33,Dropping off delivery
2025-12-19,"Admirals Road, Admirals Road, View Royal","Bin 4 Burger Lounge, Maple Street, Saanich",6.5,Business,22:16,22:26,Picking up food
2025-12-19,"319, Skinner Street, Victoria, British Columbia","Admirals Road, Admirals Road, View Royal",4.7,Business,22:05,22:14,Dropping off delivery
2025-12-19,"Subway, Subway, Dunedin Street, Victoria","319, Skinner Street, Victoria, British Columbia",1.5,Business,21:57,22:05,Dropping off delivery
2025-12-19,"2950, Douglas Street, Victoria, British Columbia","Subway, Dunedin Street, Victoria",0.8,Business,21:51,21:57,Picking up food
2025-12-19,"3811, Rowland Avenue, Saanich, British Columbia","3005, Douglas Street, Victoria, British Columbia",2.9,Business,21:40,21:49,Picking up food
2025-12-19,"Subway, Subway, Douglas Street, Saanich","3811, Rowland Avenue, Saanich, British Columbia",1.1,Business,21:26,21:40,Dropping off delivery
2025-12-19,"265, 265, 265 Cadillac Avenue, Saanich","Subway, Douglas Street, Saanich",1.5,Business,21:21,21:26,Picking up food
2025-12-19,"Liquor Co 1977, Liquor Co 1977, Tillicum Road, Saanich","265, 265 Cadillac Avenue, Saanich",1.3,Business,21:13,21:21,Dropping off delivery
2025-12-19,"363, 363, 363 Ker Avenue, Saanich","Liquor Co 1977, Tillicum Road, Saanich",0.6,Business,21:08,21:12,Picking up food
2025-12-19,"103, 103, Gorge Road East, Victoria, British Columbia","363, 363 Ker Avenue, Saanich",2.2,Business,21:01,21:07,Dropping off delivery
2025-12-19,"Red Robin, Red Robin, 800 Tolmie Avenue, Saanich","103, Gorge Road East, Victoria, British Columbia",2.5,Business,20:46,21:01,Dropping off delivery
2025-12-19,"Jade Fountain Restaurant, Jade Fountain Restaurant, Douglas Street, Saanich","Red Robin, 800 Tolmie Avenue, Saanich",0.9,Business,20:41,20:46,Picking up food
2025-12-19,"3150, Jutland Road, Victoria, British Columbia","Jade Fountain Restaurant, Douglas Street, Saanich",1.2,Business,20:34,20:40,Picking up food
2025-12-19,"McDonald's, McDonald's, 3465 Saanich Road, Saanich","3150, 3150 Jutland Road, Victoria",1.5,Business,20:27,20:34,Dropping off delivery
2025-12-19,"715, Violet Avenue, Saanich, British Columbia","McDonald's, 3465 Saanich Road, Saanich",3.9,Business,20:16,20:26,Picking up food
2025-12-19,"528, Meredith Crescent, Saanich, British Columbia","715, 715 Violet Avenue, Saanich",0.6,Business,20:09,20:15,Dropping off delivery
2025-12-19,"Uptown Boulevard, Uptown Boulevard, Saanich, British Columbia","528, Meredith Crescent, Saanich, British Columbia",2.4,Business,19:55,20:09,Dropping off delivery
2025-12-19,"Boston Pizza, 3510 Blanshard Street, Saanich","Uptown Boulevard, Saanich, British Columbia",0.5,Business,19:47,19:53,Picking up food
2025-12-19,"Fit4less, Fit4less, Fit4less, 805 Cloverdale Ave, Victoria, BC V8X 2S9, Canada","Boston Pizza, 3510 Blanshard Street, Saanich",1.3,Business,19:36,19:47,Picking up food
2025-12-17,"960, Inverness Road, Saanich, British Columbia","3420, Quadra Street, Saanich, British Columbia",0.4,Business,22:29,22:32,
2025-12-17,"3991, Quadra Street, Saanich, British Columbia","960, Inverness Road, Saanich, British Columbia",2.3,Business,22:23,22:28,
2025-12-17,"4027, Trafalgar Crescent, Saanich, British Columbia","3991, Quadra Street, Saanich, British Columbia",2.6,Business,22:15,22:23,
2025-12-17,"Culduthel Road, Saanich, British Columbia","4031, Trafalgar Crescent, Saanich, British Columbia",2.2,Business,22:08,22:13,
2025-12-17,"3460, Saanich Road, Saanich, British Columbia","Douglas Street, Saanich, British Columbia",1.3,Business,22:04,22:06,
2025-12-17,"3991, Quadra Street, Saanich, British Columbia","3460, Saanich Road, Saanich, British Columbia",2.1,Business,20:55,21:02,
2025-12-17,"975, McKenzie Avenue, Saanich, British Columbia","McKenzie Avenue, Saanich, British Columbia",2.1,Business,20:41,20:44,
2025-12-17,"Borden Street, Saanich, British Columbia","971, McKenzie Avenue, Saanich, British Columbia",1.2,Business,20:35,20:39,
2025-12-17,"964, McKenzie Avenue, Saanich, British Columbia","Borden Street, Saanich, British Columbia",1.3,Business,20:29,20:33,
