category,company,date,end_location,end_time,id,kilometres,notes,start_location,start_time
business,,2026-01-07,"3420, 3420, Quadra Street, Saanich, British Columbia",22:46,12655632-c5cb-4818-832e-338246f78645,8.5,Home,"2289, Covington Place, Saanich, British Columbia",22:34
business,,2026-01-07,"2296, Covington Place, Saanich, British Columbia",22:34,a3c8ba78-6e31-4016-ac8b-aeffc31f0c19,10.7,Dropping off delivery,"Delicious Pizza & Pasta, Delicious Pizza & Pasta, Delicious Pizza & Pasta, 3388 Douglas Street, Saanich",22:15
business,,2026-01-07,"Delicious Pizza & Pasta, Delicious Pizza & Pasta, 3388 Douglas Street, Saanich",22:15,525c7414-c3eb-4d82-9682-59e945eb87fc,0.6,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",22:12
business,,2026-01-07,"McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",22:12,25b0bc04-376b-46ba-86c2-4ef719b2292c,1.2,Going to hot zone,"270, Nicola Place, Saanich, British Columbia",21:57
business,,2026-01-07,"270, Nicola Place, Saanich, British Columbia",21:56,35a25feb-d4a9-4375-aa33-eff9cab128dd,1.2,Dropping off delivery,"3400, Douglas Street, Saanich, British Columbia",21:54
business,,2026-01-07,"Oak Street, Saanich, British Columbia",21:49,c22e48db-7268-4c9a-99eb-a6c3b1f6d2b4,2.3,Picking up food,"1406, Merritt Place, Victoria, British Columbia",21:38
business,,2026-01-07,"1406, Merritt Place, Victoria, British Columbia",21:38,14740d4a-5e58-44a3-83cf-ee43a9f8c694,3.6,Dropping off delivery,"A&W, Cedar Hill Cross Road, Saanich",21:30
business,,2026-01-07,"A&W, Cedar Hill Cross Road, Saanich",21:30,86d42b5b-5b57-46cd-9c4d-c2cc689a2eeb,1.6,Picking up food,"McKenzie Avenue, Saanich, British Columbia",21:26
business,,2026-01-07,"McKenzie Avenue, Saanich, British Columbia",21:26,101a9beb-a41f-42d9-a418-133993c3b6ad,3.8,,"Alumni Chip Trail, Saanich, British Columbia",21:18
business,,2026-01-07,"Alumni Chip Trail, Saanich, British Columbia",21:18,af9c1e61-d022-4f47-9df8-2e2ea0499f20,1.5,Dropping off delivery,"3811, Kremlin Street, Saanich, British Columbia",21:09
business,,2026-01-07,"1760, Broadmead Avenue, Saanich, British Columbia",21:07,f545633c-bcc1-4827-9c15-3c0923487d83,1.2,Dropping off delivery,"Stamboul Street, Saanich, British Columbia",21:02
business,,2026-01-07,"Kisber Avenue, Saanich, British Columbia",21:02,57ba867e-61fe-4891-bf6f-08a6a5609be3,1,Picking up food,"Popeyes, 1646 McKenzie Avenue, Saanich",20:50
business,,2026-01-07,"Popeyes, 1646 McKenzie Avenue, Saanich",20:50,c3b49143-c5ef-4815-b568-95546e1548c2,0.1,,"1654, McKenzie Avenue, Saanich, British Columbia",20:42
business,,2026-01-07,"1654, McKenzie Avenue, Saanich, British Columbia",20:42,10e10630-cac2-4ce6-a883-5c1cc1b94167,1,Picking up food,"McDonald's, 1567 Cedar Hill Cross Road, Victoria",20:18
business,,2026-01-07,"1567, Cedar Hill Cross Road, Victoria, British Columbia",20:18,fb2e5da5-86fc-43a2-9d35-bef4ef01ffb8,0.2,Picking up food,"Stamboul Street, Saanich, British Columbia",20:15
business,,2026-01-07,"Stamboul Street, Saanich, British Columbia",20:15,87f12490-166d-45d9-a1a3-a4ba23ee14ec,3.5,Dropping off delivery,"White Spot, 1871 Fort Street, Victoria",19:42
business,,2026-01-07,"White Spot, 1871 Fort Street, Victoria",19:42,7faf93ed-58d7-4e5e-b892-177812335023,0.5,Picking up food,"2226, Shelbourne Street, Victoria, British Columbia",19:38
business,,2026-01-07,"Shelbourne Street, Victoria, British Columbia",19:38,9e8225df-0b56-40c9-ad1a-9f8cd43b2dab,2.6,Dropping off delivery,"Unit 1490, 1490-1475, Ocean View Road, Saanich, British Columbia",19:17
business,,2026-01-07,"Unit 1490, 1490-1475, Ocean View Road, Saanich, British Columbia",19:17,c339d6f0-7160-42cf-af5f-c15c2d383b46,2.4,Dropping off delivery,"Bin 4 Burger Lounge, Bin 4 Burger Lounge, Bin 4 Burger Lounge, Maple Street, Saanich",19:09
business,,2026-01-07,"Bin 4 Burger Lounge, Bin 4 Burger Lounge, Bin 4 Burger Lounge, Maple Street, Saanich",19:09,babf710d-04c0-44a2-99a8-794772322c0b,0.8,Picking up food,"3420, Quadra Street, Saanich, British Columbia",18:55
business,,2026-01-06,"3420, Quadra Street, Saanich, British Columbia",23:05,7b6096fa-046e-4ebb-9eb7-434478cf80ae,1.6,Home,"Unit 1702, 1702-Newton Street, Saanich, British Columbia",22:55
business,,2026-01-06,"Unit 1702, 1702-Newton Street, Saanich, British Columbia",22:52,25edc986-a612-4b5c-959b-8152f25ebda2,2.6,Dropping off delivery,"2643, Prior Street, Victoria, British Columbia",22:42
business,,2026-01-06,"Unit 1702, 1702-Newton Street, Saanich, British Columbia",22:52,5037cad9-2321-481b-875b-e6de15c18c8e,2.6,Dropping off delivery,"2643, Prior Street, Victoria, British Columbia",22:42
business,,2026-01-06,"Newton Street, Saanich, British Columbia",22:52,a86c51f2-9b22-436d-b7c8-d319a73fa52a,2.6,Dropping off delivery,"2643, Prior Street, Victoria, British Columbia",22:42
business,,2026-01-06,"2643, Prior Street, Victoria, British Columbia",22:42,e604d8df-4ce2-48f9-82f2-f1db50122953,1.3,Dropping off delivery,"2950, Douglas Street, Victoria, British Columbia",22:35
business,,2026-01-06,"Delicious Pizza & Pasta, 3388 Douglas Street, Saanich",22:23,ef32855c-0a4b-4aff-97e4-d39cf6ec3337,0.3,Picking up food,"McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",22:20
business,,2026-01-06,"3558, Elliston Avenue, Saanich, British Columbia",21:59,6049e800-e351-4e34-8ee1-6c893b87b59d,2.4,Dropping off delivery,"Shark club, 2852, Douglas Street, Victoria, British Columbia",21:51
business,,2026-01-06,"Shark club, 2852, Douglas Street, Victoria, British Columbia",21:50,813fd309-bcd1-4875-9704-d42af57edad4,1.5,Picking up food,"160 Wilson street, Wilson Street, Victoria, British Columbia",21:40
business,,2026-01-06,"Shark club, 2852, Douglas Street, Victoria, British Columbia",21:50,e8b94192-5978-4c3b-90a0-916643824dcb,1.5,Picking up food,"160 Wilson street, Wilson Street, Victoria, British Columbia",21:40
business,,2026-01-06,"160 Wilson street, Wilson Street, Victoria, British Columbia",21:39,d51bf44f-3f82-4dfd-b290-adecc08e6fa2,3.4,Dropping off delivery,"Canadian Brewhouse & Grill, Canadian Brewhouse & Grill, Douglas Street, Saanich",21:07
business,,2026-01-06,"160 Wilson street, Wilson Street, Victoria, British Columbia",21:39,7864728c-457a-4091-adb5-8966d008cf85,3.4,Dropping off delivery,"Canadian Brewhouse & Grill, Canadian Brewhouse & Grill, Douglas Street, Saanich",21:07
business,,2026-01-06,"Canadian Brewhouse & Grill, Douglas Street, Saanich",21:06,17c37969-c1a6-452b-848f-256f60e12b61,1.2,Picking up food,"501, 501, 501 Ker Avenue, Saanich",20:56
